Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 75 °F, 94 %,  WSW, 8 mph, 0 mph, 29.64 in, 0.0 in, 
12:30 AM, 77 °F, 75 °F, 94 %,  WSW, 7 mph, 0 mph, 29.64 in, 0.0 in, 
1:00 AM, 77 °F, 75 °F, 94 %,  WSW, 8 mph, 0 mph, 29.64 in, 0.0 in, 
1:30 AM, 77 °F, 75 °F, 94 %,  WSW, 6 mph, 0 mph, 29.64 in, 0.0 in, 
2:00 AM, 77 °F, 75 °F, 94 %,  SW, 5 mph, 0 mph, 29.61 in, 0.0 in, 
2:30 AM, 77 °F, 77 °F, 100 %,  SW, 5 mph, 0 mph, 29.61 in, 0.0 in, 
3:00 AM, 79 °F, 77 °F, 94 %,  SSW, 6 mph, 0 mph, 29.61 in, 0.0 in, 
3:30 AM, 79 °F, 77 °F, 94 %,  SSW, 6 mph, 0 mph, 29.61 in, 0.0 in, 
4:00 AM, 79 °F, 77 °F, 94 %,  SW, 7 mph, 0 mph, 29.64 in, 0.0 in, 
4:30 AM, 79 °F, 77 °F, 94 %,  SW, 7 mph, 0 mph, 29.64 in, 0.0 in, 
5:00 AM, 79 °F, 75 °F, 89 %,  SW, 6 mph, 0 mph, 29.64 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  SW, 6 mph, 0 mph, 29.64 in, 0.0 in, 
6:00 AM, 79 °F, 75 °F, 89 %,  SW, 7 mph, 0 mph, 29.64 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  SSW, 8 mph, 0 mph, 29.67 in, 0.0 in, 
7:00 AM, 79 °F, 77 °F, 94 %,  SSW, 8 mph, 0 mph, 29.67 in, 0.0 in, 
7:30 AM, 79 °F, 77 °F, 94 %,  SSW, 9 mph, 0 mph, 29.67 in, 0.0 in, 
8:00 AM, 79 °F, 75 °F, 89 %,  SW, 10 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 AM, 81 °F, 75 °F, 84 %,  SW, 12 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 AM, 82 °F, 75 °F, 79 %,  WSW, 9 mph, 0 mph, 29.70 in, 0.0 in, 
9:30 AM, 82 °F, 77 °F, 84 %,  WSW, 14 mph, 0 mph, 29.67 in, 0.0 in, 
10:00 AM, 84 °F, 75 °F, 74 %,  WSW, 14 mph, 0 mph, 29.67 in, 0.0 in, 
10:30 AM, 86 °F, 75 °F, 70 %,  WSW, 14 mph, 0 mph, 29.67 in, 0.0 in, 
11:00 AM, 84 °F, 75 °F, 74 %,  W, 15 mph, 0 mph, 29.67 in, 0.0 in, 
11:30 AM, 86 °F, 75 °F, 70 %,  WSW, 14 mph, 0 mph, 29.67 in, 0.0 in, 
12:00 PM, 86 °F, 75 °F, 70 %,  WSW, 14 mph, 0 mph, 29.64 in, 0.0 in, 
12:30 PM, 88 °F, 75 °F, 66 %,  W, 14 mph, 0 mph, 29.64 in, 0.0 in, 
1:00 PM, 90 °F, 77 °F, 66 %,  WSW, 9 mph, 0 mph, 29.61 in, 0.0 in, 
1:30 PM, 86 °F, 77 °F, 74 %,  SSW, 9 mph, 0 mph, 29.61 in, 0.0 in, Light Rain, 
2:00 PM, 88 °F, 75 °F, 66 %,  WSW, 16 mph, 0 mph, 29.58 in, 0.0 in, 
2:30 PM, 90 °F, 75 °F, 62 %,  WSW, 15 mph, 0 mph, 29.58 in, 0.0 in, 
3:00 PM, 90 °F, 75 °F, 62 %,  SW, 15 mph, 0 mph, 29.58 in, 0.0 in, 
3:30 PM, 90 °F, 77 °F, 66 %,  WSW, 15 mph, 0 mph, 29.58 in, 0.0 in, 
4:00 PM, 88 °F, 75 °F, 66 %,  WSW, 15 mph, 0 mph, 29.58 in, 0.0 in, 
4:30 PM, 86 °F, 75 °F, 70 %,  WSW, 14 mph, 0 mph, 29.61 in, 0.0 in, 
5:00 PM, 88 °F, 75 °F, 66 %,  WSW, 15 mph, 0 mph, 29.61 in, 0.0 in, 
5:30 PM, 86 °F, 75 °F, 70 %,  WSW, 15 mph, 0 mph, 29.61 in, 0.0 in, 
6:00 PM, 84 °F, 73 °F, 70 %,  WSW, 14 mph, 0 mph, 29.64 in, 0.0 in, 
6:30 PM, 82 °F, 75 °F, 79 %,  WSW, 10 mph, 0 mph, 29.64 in, 0.0 in, 
7:00 PM, 82 °F, 73 °F, 74 %,  WSW, 13 mph, 0 mph, 29.67 in, 0.0 in, 
7:30 PM, 82 °F, 75 °F, 79 %,  WSW, 13 mph, 0 mph, 29.67 in, 0.0 in, 
8:00 PM, 82 °F, 73 °F, 74 %,  SW, 10 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 81 °F, 73 °F, 79 %,  WSW, 12 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 PM, 81 °F, 73 °F, 79 %,  WSW, 10 mph, 0 mph, 29.70 in, 0.0 in, 
9:30 PM, 81 °F, 75 °F, 84 %,  WSW, 10 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 81 °F, 75 °F, 84 %,  SW, 9 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 PM, 81 °F, 75 °F, 84 %,  SW, 12 mph, 0 mph, 29.73 in, 0.0 in, 
11:00 PM, 81 °F, 75 °F, 84 %,  SW, 8 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 PM, 81 °F, 75 °F, 84 %,  SW, 8 mph, 0 mph, 29.73 in, 0.0 in, 
