Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 81 °F, 75 °F, 84 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
12:30 AM, 79 °F, 75 °F, 89 %,  ENE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
1:00 AM, 79 °F, 75 °F, 89 %,  ENE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
1:30 AM, 79 °F, 75 °F, 89 %,  ENE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
2:00 AM, 79 °F, 75 °F, 89 %,  ENE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
2:30 AM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 AM, 79 °F, 75 °F, 89 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 AM, 77 °F, 75 °F, 94 %,  NE, 2 mph, 0 mph, 29.79 in, 0.0 in, 
4:00 AM, 77 °F, 75 °F, 94 %,  N, 3 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 AM, 77 °F, 75 °F, 94 %,  NE, 2 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 AM, 79 °F, 77 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
6:00 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  NE, 2 mph, 0 mph, 29.85 in, 0.0 in, 
7:00 AM, 81 °F, 77 °F, 89 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
7:30 AM, 82 °F, 77 °F, 84 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
8:00 AM, 84 °F, 75 °F, 74 %,  N, 6 mph, 0 mph, 29.88 in, 0.0 in, 
8:30 AM, 86 °F, 73 °F, 66 %,  N, 6 mph, 0 mph, 29.88 in, 0.0 in, 
9:00 AM, 88 °F, 73 °F, 62 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
9:30 AM, 88 °F, 72 °F, 58 %,  NE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
10:00 AM, 90 °F, 72 °F, 55 %,  E, 5 mph, 0 mph, 29.85 in, 0.0 in, 
10:30 AM, 91 °F, 72 °F, 52 %,  VAR, 5 mph, 0 mph, 29.85 in, 0.0 in, 
11:00 AM, 91 °F, 70 °F, 49 %,  NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 AM, 91 °F, 70 °F, 49 %,  ENE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
12:00 PM, 91 °F, 70 °F, 49 %,  E, 9 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 PM, 91 °F, 70 °F, 49 %,  ENE, 7 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 PM, 91 °F, 70 °F, 49 %,  VAR, 5 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 PM, 91 °F, 70 °F, 49 %,  NE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 PM, 93 °F, 70 °F, 46 %,  VAR, 6 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 PM, 91 °F, 70 °F, 49 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 PM, 91 °F, 70 °F, 49 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 PM, 91 °F, 70 °F, 49 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 PM, 90 °F, 75 °F, 62 %,  SW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 PM, 90 °F, 75 °F, 62 %,  S, 8 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 PM, 84 °F, 77 °F, 79 %,  N, 6 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 PM, 82 °F, 77 °F, 84 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 PM, 84 °F, 79 °F, 84 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 PM, 84 °F, 75 °F, 74 %,  S, 5 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 PM, 84 °F, 73 °F, 70 %,  SSE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 PM, 86 °F, 75 °F, 70 %,  SSE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 PM, 86 °F, 75 °F, 70 %,  SE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
8:30 PM, 84 °F, 73 °F, 70 %,  SSE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 PM, 84 °F, 73 °F, 70 %,  SE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
9:30 PM, 84 °F, 73 °F, 70 %,  SE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 PM, 84 °F, 73 °F, 70 %,  SE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 PM, 82 °F, 75 °F, 79 %,  ESE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
11:00 PM, 82 °F, 73 °F, 74 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 PM, 82 °F, 73 °F, 74 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
