Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 75 °F, 94 %,  SW, 9 mph, 0 mph, 29.70 in, 0.0 in, 
12:30 AM, 77 °F, 75 °F, 94 %,  WSW, 9 mph, 0 mph, 29.67 in, 0.0 in, 
1:00 AM, 77 °F, 75 °F, 94 %,  WSW, 9 mph, 0 mph, 29.67 in, 0.0 in, 
1:30 AM, 77 °F, 75 °F, 94 %,  W, 8 mph, 0 mph, 29.64 in, 0.0 in, 
2:00 AM, 77 °F, 75 °F, 94 %,  W, 7 mph, 0 mph, 29.64 in, 0.0 in, 
2:30 AM, 77 °F, 73 °F, 89 %,  W, 6 mph, 0 mph, 29.64 in, 0.0 in, 
3:00 AM, 77 °F, 73 °F, 89 %,  W, 5 mph, 0 mph, 29.61 in, 0.0 in, 
3:30 AM, 77 °F, 73 °F, 89 %,  WSW, 7 mph, 0 mph, 29.64 in, 0.0 in, 
4:00 AM, 77 °F, 73 °F, 89 %,  WSW, 7 mph, 0 mph, 29.61 in, 0.0 in, 
4:30 AM, 77 °F, 75 °F, 94 %,  W, 5 mph, 0 mph, 29.64 in, 0.0 in, 
5:00 AM, 77 °F, 75 °F, 94 %,  WSW, 5 mph, 0 mph, 29.64 in, 0.0 in, 
5:30 AM, 77 °F, 75 °F, 94 %,  SW, 6 mph, 0 mph, 29.67 in, 0.0 in, 
6:00 AM, 77 °F, 75 °F, 94 %,  WSW, 7 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 AM, 79 °F, 75 °F, 89 %,  WSW, 9 mph, 0 mph, 29.70 in, 0.0 in, 
7:00 AM, 79 °F, 75 °F, 89 %,  WSW, 10 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 AM, 79 °F, 77 °F, 94 %,  WSW, 10 mph, 0 mph, 29.70 in, 0.0 in, 
8:00 AM, 79 °F, 77 °F, 94 %,  WSW, 8 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 AM, 81 °F, 77 °F, 89 %,  W, 8 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 AM, 79 °F, 75 °F, 89 %,  W, 16 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
9:30 AM, 79 °F, 77 °F, 94 %,  WSW, 7 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 AM, 79 °F, 77 °F, 94 %,  W, 6 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 AM, 81 °F, 79 °F, 94 %,  WNW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
11:00 AM, 82 °F, 79 °F, 89 %,  W, 8 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 AM, 84 °F, 79 °F, 84 %,  W, 9 mph, 0 mph, 29.73 in, 0.0 in, 
12:00 PM, 84 °F, 79 °F, 84 %,  WSW, 7 mph, 0 mph, 29.70 in, 0.0 in, 
12:30 PM, 86 °F, 77 °F, 74 %,  W, 7 mph, 0 mph, 29.70 in, 0.0 in, 
1:00 PM, 88 °F, 75 °F, 66 %,  W, 7 mph, 0 mph, 29.70 in, 0.0 in, 
1:30 PM, 81 °F, 73 °F, 79 %,  SW, 18 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 75 °F, 73 °F, 94 %,  WNW, 8 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
2:30 PM, 75 °F, 73 °F, 94 %,  W, 5 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 PM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 PM, 77 °F, 73 °F, 89 %,  W, 14 mph, 0 mph, 29.70 in, 0.0 in, 
4:30 PM, 75 °F, 73 °F, 94 %,  WSW, 12 mph, 0 mph, 29.70 in, 0.0 in, 
5:00 PM, 75 °F, 73 °F, 94 %,  WSW, 12 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 PM, 75 °F, 73 °F, 94 %,  SW, 8 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 PM, 75 °F, 73 °F, 94 %,  WSW, 7 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 PM, 75 °F, 73 °F, 94 %,  SW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 PM, 75 °F, 73 °F, 94 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 PM, 75 °F, 73 °F, 94 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 PM, 77 °F, 73 °F, 89 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 PM, 77 °F, 73 °F, 89 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 PM, 75 °F, 73 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 PM, 77 °F, 73 °F, 89 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 PM, 77 °F, 73 °F, 89 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 PM, 77 °F, 73 °F, 89 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 PM, 77 °F, 73 °F, 89 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 PM, 77 °F, 73 °F, 89 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
