Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 81 °F, 66 °F, 61 %,  E, 5 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 AM, 81 °F, 68 °F, 65 %,  ESE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 AM, 81 °F, 68 °F, 65 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
1:30 AM, 79 °F, 68 °F, 69 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
2:00 AM, 79 °F, 68 °F, 69 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
2:30 AM, 77 °F, 68 °F, 74 %,  E, 1 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 AM, 77 °F, 68 °F, 74 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 AM, 75 °F, 68 °F, 78 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
4:00 AM, 75 °F, 68 °F, 78 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 AM, 77 °F, 70 °F, 78 %,  N, 2 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 AM, 77 °F, 70 °F, 78 %,  NNW, 1 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 AM, 77 °F, 70 °F, 78 %,  NNW, 5 mph, 0 mph, 29.82 in, 0.0 in, 
6:00 AM, 75 °F, 70 °F, 83 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 AM, 75 °F, 70 °F, 83 %,  N, 6 mph, 0 mph, 29.82 in, 0.0 in, 
7:00 AM, 77 °F, 70 °F, 78 %,  NE, 5 mph, 0 mph, 29.85 in, 0.0 in, 
7:30 AM, 77 °F, 70 °F, 78 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
8:00 AM, 79 °F, 70 °F, 74 %,  NE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
8:30 AM, 81 °F, 70 °F, 70 %,  NNE, 6 mph, 0 mph, 29.88 in, 0.0 in, 
9:00 AM, 82 °F, 70 °F, 66 %,  N, 5 mph, 0 mph, 29.88 in, 0.0 in, 
9:30 AM, 84 °F, 70 °F, 62 %,  NNE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
10:00 AM, 88 °F, 68 °F, 52 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
10:30 AM, 88 °F, 68 °F, 52 %,  NW, 5 mph, 0 mph, 29.88 in, 0.0 in, 
11:00 AM, 88 °F, 66 °F, 49 %,  NNW, 5 mph, 0 mph, 29.85 in, 0.0 in, 
11:30 AM, 90 °F, 66 °F, 46 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
12:00 PM, 91 °F, 66 °F, 43 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
12:30 PM, 91 °F, 64 °F, 41 %,  WNW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 PM, 93 °F, 64 °F, 38 %,  WNW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
1:30 PM, 93 °F, 64 °F, 38 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 PM, 93 °F, 64 °F, 38 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
2:30 PM, 95 °F, 63 °F, 34 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 PM, 95 °F, 63 °F, 34 %,  NW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 PM, 93 °F, 63 °F, 36 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 PM, 93 °F, 63 °F, 36 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 PM, 90 °F, 70 °F, 52 %,  S, 12 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 PM, 86 °F, 70 °F, 58 %,  S, 14 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 PM, 86 °F, 70 °F, 58 %,  S, 10 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 PM, 86 °F, 70 °F, 58 %,  S, 9 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 PM, 86 °F, 70 °F, 58 %,  SSE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 PM, 84 °F, 70 °F, 62 %,  S, 7 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 PM, 84 °F, 70 °F, 62 %,  S, 5 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 PM, 84 °F, 70 °F, 62 %,  SSE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
8:30 PM, 84 °F, 70 °F, 62 %,  SE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
9:00 PM, 84 °F, 68 °F, 58 %,  SE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
9:30 PM, 82 °F, 68 °F, 62 %,  E, 7 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 PM, 82 °F, 70 °F, 66 %,  ENE, 6 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 PM, 82 °F, 70 °F, 66 %,  ENE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
11:00 PM, 82 °F, 70 °F, 66 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 PM, 81 °F, 68 °F, 65 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
