Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 70 °F, 78 %,  VAR, 6 mph, 0 mph, 29.85 in, 0.0 in, 
12:30 AM, 77 °F, 68 °F, 74 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 AM, 77 °F, 66 °F, 69 %,  NNW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 AM, 75 °F, 66 °F, 73 %,  N, 6 mph, 0 mph, 29.82 in, 0.0 in, 
2:00 AM, 75 °F, 66 °F, 73 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
2:30 AM, 75 °F, 66 °F, 73 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
3:00 AM, 73 °F, 64 °F, 73 %,  NE, 3 mph, 0 mph, 29.82 in, 0.0 in, 
3:30 AM, 73 °F, 66 °F, 78 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
4:00 AM, 73 °F, 66 °F, 78 %,  NNE, 3 mph, 0 mph, 29.82 in, 0.0 in, 
4:30 AM, 73 °F, 66 °F, 78 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
5:00 AM, 73 °F, 66 °F, 78 %,  NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
5:30 AM, 73 °F, 66 °F, 78 %,  NNE, 5 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 AM, 75 °F, 66 °F, 73 %,  NE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
6:30 AM, 75 °F, 66 °F, 73 %,  NE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
7:00 AM, 75 °F, 64 °F, 69 %,  ENE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 AM, 77 °F, 66 °F, 69 %,  NE, 6 mph, 0 mph, 29.88 in, 0.0 in, 
8:00 AM, 77 °F, 64 °F, 65 %,  NE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
8:30 AM, 81 °F, 66 °F, 61 %,  NE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
9:00 AM, 82 °F, 64 °F, 54 %,  NNE, 7 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 AM, 84 °F, 64 °F, 51 %,  NE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 AM, 84 °F, 64 °F, 51 %,  NE, 8 mph, 0 mph, 29.91 in, 0.0 in, 
11:00 AM, 86 °F, 64 °F, 48 %,  ENE, 6 mph, 0 mph, 29.88 in, 0.0 in, 
11:30 AM, 88 °F, 64 °F, 46 %,  NE, 3 mph, 0 mph, 29.88 in, 0.0 in, 
12:00 PM, 90 °F, 64 °F, 43 %,  N, 6 mph, 0 mph, 29.85 in, 0.0 in, 
12:30 PM, 88 °F, 64 °F, 46 %,  NNE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 PM, 88 °F, 64 °F, 46 %,  N, 6 mph, 0 mph, 29.82 in, 0.0 in, 
1:30 PM, 90 °F, 63 °F, 40 %,  VAR, 6 mph, 0 mph, 29.82 in, 0.0 in, 
2:00 PM, 90 °F, 61 °F, 38 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
2:30 PM, 90 °F, 63 °F, 40 %,  VAR, 5 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 PM, 91 °F, 63 °F, 38 %,  ENE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 PM, 90 °F, 63 °F, 40 %,  ENE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
4:00 PM, 90 °F, 63 °F, 40 %,  NE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 PM, 88 °F, 63 °F, 43 %,  NE, 7 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 PM, 88 °F, 63 °F, 43 %,  NE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 PM, 86 °F, 63 °F, 45 %,  NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
6:00 PM, 84 °F, 63 °F, 48 %,  NNE, 6 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 PM, 84 °F, 63 °F, 48 %,  NNE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
7:00 PM, 84 °F, 61 °F, 45 %,  NE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
7:30 PM, 82 °F, 61 °F, 48 %,  NNE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
8:00 PM, 82 °F, 61 °F, 48 %,  NE, 8 mph, 0 mph, 29.88 in, 0.0 in, 
8:30 PM, 81 °F, 61 °F, 51 %,  NE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
9:00 PM, 81 °F, 61 °F, 51 %,  NNE, 12 mph, 0 mph, 29.91 in, 0.0 in, 
9:30 PM, 79 °F, 61 °F, 54 %,  NNE, 10 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 PM, 79 °F, 61 °F, 54 %,  NNE, 12 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 PM, 77 °F, 61 °F, 57 %,  NNE, 8 mph, 0 mph, 29.88 in, 0.0 in, 
11:00 PM, 77 °F, 61 °F, 57 %,  NNE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
11:30 PM, 77 °F, 61 °F, 57 %,  NNE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
