Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 64 °F, 61 %,  SE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
12:30 AM, 79 °F, 66 °F, 65 %,  ESE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
1:00 AM, 77 °F, 64 °F, 65 %,  SE, 6 mph, 0 mph, 29.91 in, 0.0 in, 
1:30 AM, 77 °F, 66 °F, 69 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
2:00 AM, 77 °F, 64 °F, 65 %,  ESE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
2:30 AM, 73 °F, 64 °F, 73 %,  E, 5 mph, 0 mph, 29.88 in, 0.0 in, 
3:00 AM, 73 °F, 64 °F, 73 %,  E, 6 mph, 0 mph, 29.88 in, 0.0 in, 
3:30 AM, 73 °F, 64 °F, 73 %,  E, 5 mph, 0 mph, 29.88 in, 0.0 in, 
4:00 AM, 73 °F, 64 °F, 73 %,  ENE, 3 mph, 0 mph, 29.91 in, 0.0 in, 
4:30 AM, 73 °F, 64 °F, 73 %,  NE, 2 mph, 0 mph, 29.91 in, 0.0 in, 
5:00 AM, 73 °F, 64 °F, 73 %,  NE, 3 mph, 0 mph, 29.91 in, 0.0 in, 
5:30 AM, 72 °F, 64 °F, 78 %,  NE, 3 mph, 0 mph, 29.91 in, 0.0 in, 
6:00 AM, 72 °F, 64 °F, 78 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
6:30 AM, 72 °F, 64 °F, 78 %,  NE, 2 mph, 0 mph, 29.94 in, 0.0 in, 
7:00 AM, 75 °F, 68 °F, 78 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
7:30 AM, 77 °F, 68 °F, 74 %,  VAR, 3 mph, 0 mph, 29.94 in, 0.0 in, 
8:00 AM, 79 °F, 68 °F, 69 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
8:30 AM, 81 °F, 68 °F, 65 %,  ENE, 5 mph, 0 mph, 29.97 in, 0.0 in, 
9:00 AM, 82 °F, 68 °F, 62 %,  VAR, 3 mph, 0 mph, 29.97 in, 0.0 in, 
9:30 AM, 84 °F, 68 °F, 58 %,  ENE, 5 mph, 0 mph, 29.97 in, 0.0 in, 
10:00 AM, 86 °F, 68 °F, 55 %,  NNE, 5 mph, 0 mph, 29.94 in, 0.0 in, 
10:30 AM, 86 °F, 66 °F, 51 %,  NNE, 5 mph, 0 mph, 29.94 in, 0.0 in, 
11:00 AM, 88 °F, 66 °F, 49 %,  N, 5 mph, 0 mph, 29.94 in, 0.0 in, 
11:30 AM, 90 °F, 64 °F, 43 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
12:00 PM, 90 °F, 63 °F, 40 %,  VAR, 2 mph, 0 mph, 29.91 in, 0.0 in, 
12:30 PM, 90 °F, 63 °F, 40 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
1:00 PM, 91 °F, 61 °F, 36 %,  NNE, 8 mph, 0 mph, 29.88 in, 0.0 in, 
1:30 PM, 91 °F, 59 °F, 34 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
2:00 PM, 91 °F, 61 °F, 36 %,  VAR, 5 mph, 0 mph, 29.85 in, 0.0 in, 
2:30 PM, 91 °F, 59 °F, 34 %,  VAR, 6 mph, 0 mph, 29.82 in, 0.0 in, 
3:00 PM, 91 °F, 59 °F, 34 %,  NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
3:30 PM, 91 °F, 59 °F, 34 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
4:00 PM, 91 °F, 61 °F, 36 %,  NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
4:30 PM, 90 °F, 59 °F, 36 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
5:00 PM, 86 °F, 64 °F, 48 %,  S, 9 mph, 0 mph, 29.85 in, 0.0 in, 
5:30 PM, 86 °F, 64 °F, 48 %,  S, 7 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 PM, 84 °F, 66 °F, 55 %,  S, 7 mph, 0 mph, 29.85 in, 0.0 in, 
6:30 PM, 84 °F, 66 °F, 55 %,  S, 6 mph, 0 mph, 29.85 in, 0.0 in, 
7:00 PM, 84 °F, 66 °F, 55 %,  S, 7 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 PM, 84 °F, 66 °F, 55 %,  S, 7 mph, 0 mph, 29.88 in, 0.0 in, 
8:00 PM, 82 °F, 68 °F, 62 %,  S, 6 mph, 0 mph, 29.88 in, 0.0 in, 
8:30 PM, 82 °F, 68 °F, 62 %,  S, 6 mph, 0 mph, 29.91 in, 0.0 in, 
9:00 PM, 82 °F, 68 °F, 62 %,  SSE, 3 mph, 0 mph, 29.91 in, 0.0 in, 
9:30 PM, 82 °F, 68 °F, 62 %,  SE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 PM, 82 °F, 68 °F, 62 %,  SE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 PM, 81 °F, 68 °F, 65 %,  ESE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
11:00 PM, 79 °F, 68 °F, 69 %,  ENE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
11:30 PM, 79 °F, 68 °F, 69 %,  E, 6 mph, 0 mph, 29.91 in, 0.0 in, 
