,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,61.0,50.0,68.0, ENE,5.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 00:00:00
1,12:30 AM,61.0,50.0,68.0, NE,6.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 00:30:00
2,1:00 AM,61.0,50.0,68.0, NNE,7.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 01:00:00
3,1:30 AM,61.0,50.0,68.0, NNE,8.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 01:30:00
4,2:00 AM,61.0,48.0,63.0, NNE,6.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 02:00:00
5,2:30 AM,61.0,50.0,68.0, NNE,5.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 02:30:00
6,3:00 AM,61.0,50.0,68.0, N,7.0,0.0,29.99, 0.0 in, Haze,2021-01-07,2021-01-07 03:00:00
7,3:30 AM,61.0,50.0,68.0, NNE,8.0,0.0,29.99, 0.0 in, Haze,2021-01-07,2021-01-07 03:30:00
8,4:00 AM,61.0,48.0,63.0, NNE,8.0,0.0,29.99, 0.0 in, Haze,2021-01-07,2021-01-07 04:00:00
9,4:30 AM,61.0,48.0,63.0, NE,8.0,0.0,30.02, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 04:30:00
10,5:00 AM,59.0,46.0,63.0, NE,8.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 05:00:00
11,5:30 AM,59.0,46.0,63.0, NE,8.0,0.0,30.02, 0.0 in, Haze,2021-01-07,2021-01-07 05:30:00
12,6:00 AM,59.0,46.0,63.0, NE,9.0,0.0,30.05, 0.0 in, Haze,2021-01-07,2021-01-07 06:00:00
13,6:30 AM,59.0,48.0,67.0, NE,9.0,0.0,30.05, 0.0 in, Haze,2021-01-07,2021-01-07 06:30:00
14,7:00 AM,59.0,46.0,63.0, NE,8.0,0.0,30.08, 0.0 in, Haze,2021-01-07,2021-01-07 07:00:00
15,7:30 AM,59.0,46.0,63.0, NE,8.0,0.0,30.11, 0.0 in, Haze,2021-01-07,2021-01-07 07:30:00
16,8:00 AM,59.0,45.0,59.0, NE,12.0,0.0,30.11, 0.0 in, Haze,2021-01-07,2021-01-07 08:00:00
17,8:30 AM,57.0,45.0,63.0, ENE,10.0,0.0,30.14, 0.0 in, Haze,2021-01-07,2021-01-07 08:30:00
18,9:00 AM,57.0,45.0,63.0, NE,13.0,0.0,30.14, 0.0 in, Fog,2021-01-07,2021-01-07 09:00:00
19,9:30 AM,57.0,45.0,63.0, NE,13.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 09:30:00
20,10:00 AM,57.0,43.0,59.0, NE,14.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 10:00:00
21,10:30 AM,57.0,43.0,59.0, NE,10.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 10:30:00
22,11:00 AM,59.0,43.0,55.0, NE,12.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 11:00:00
23,11:30 AM,59.0,43.0,55.0, NE,13.0,0.0,30.11, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 11:30:00
24,12:00 PM,59.0,43.0,55.0, NNE,13.0,0.0,30.11, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 12:00:00
25,12:30 PM,59.0,43.0,55.0, NNE,10.0,0.0,30.08, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 12:30:00
26,1:00 PM,57.0,43.0,59.0, NNE,10.0,0.0,30.08, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 13:00:00
27,1:30 PM,57.0,43.0,59.0, NNE,12.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 13:30:00
28,2:00 PM,57.0,45.0,63.0, NNE,12.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 14:00:00
29,2:30 PM,57.0,43.0,59.0, NNE,10.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 14:30:00
30,3:00 PM,57.0,43.0,59.0, NNE,13.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 15:00:00
31,3:30 PM,57.0,43.0,59.0, NNE,10.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 15:30:00
32,4:00 PM,57.0,43.0,59.0, NNE,9.0,0.0,30.05, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 16:00:00
33,4:30 PM,57.0,43.0,59.0, NNE,10.0,0.0,30.05, 0.0 in, Cloudy,2021-01-07,2021-01-07 16:30:00
34,5:00 PM,57.0,43.0,59.0, NNE,9.0,0.0,30.05, 0.0 in, Cloudy,2021-01-07,2021-01-07 17:00:00
35,5:30 PM,57.0,43.0,59.0, NE,12.0,0.0,30.08, 0.0 in, Cloudy,2021-01-07,2021-01-07 17:30:00
36,6:00 PM,57.0,43.0,59.0, NE,8.0,0.0,30.08, 0.0 in, Cloudy,2021-01-07,2021-01-07 18:00:00
37,6:30 PM,55.0,43.0,63.0, NE,12.0,0.0,30.08, 0.0 in, Cloudy,2021-01-07,2021-01-07 18:30:00
38,7:00 PM,55.0,43.0,63.0, NE,9.0,0.0,30.11, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 19:00:00
39,7:30 PM,55.0,41.0,58.0, NE,10.0,0.0,30.11, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 19:30:00
40,8:00 PM,55.0,41.0,58.0, NE,12.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 20:00:00
41,8:30 PM,55.0,41.0,58.0, NE,10.0,0.0,30.14, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 20:30:00
42,9:00 PM,55.0,41.0,58.0, NE,10.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 21:00:00
43,9:30 PM,55.0,41.0,58.0, NE,9.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 21:30:00
44,10:00 PM,55.0,41.0,58.0, NE,12.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 22:00:00
45,10:30 PM,55.0,41.0,58.0, NE,12.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 22:30:00
46,11:00 PM,54.0,41.0,62.0, NE,10.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 23:00:00
47,11:30 PM,54.0,41.0,62.0, NE,14.0,0.0,30.17, 0.0 in, Mostly Cloudy,2021-01-07,2021-01-07 23:30:00
