,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,77.0,75.0,94.0, VAR,1.0,0.0,29.72, 0.0 in, Cloudy,2022-08-13,2022-08-13 00:00:00
1,12:30 AM,77.0,75.0,94.0, NW,3.0,0.0,29.72, 0.0 in, Fair,2022-08-13,2022-08-13 00:30:00
2,1:00 AM,77.0,75.0,94.0, NW,3.0,0.0,29.69, 0.0 in, Fog,2022-08-13,2022-08-13 01:00:00
3,1:30 AM,77.0,75.0,94.0, NW,3.0,0.0,29.69, 0.0 in, Fog,2022-08-13,2022-08-13 01:30:00
4,2:00 AM,77.0,75.0,94.0, NNW,3.0,0.0,29.69, 0.0 in, Fair,2022-08-13,2022-08-13 02:00:00
5,2:30 AM,77.0,75.0,94.0, N,3.0,0.0,29.66, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 02:30:00
6,3:00 AM,77.0,75.0,94.0, ENE,3.0,0.0,29.66, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 03:00:00
7,3:30 AM,77.0,75.0,94.0, ENE,3.0,0.0,29.66, 0.0 in, Fog,2022-08-13,2022-08-13 03:30:00
8,4:00 AM,77.0,75.0,94.0, ENE,2.0,0.0,29.66, 0.0 in, Fog,2022-08-13,2022-08-13 04:00:00
9,4:30 AM,77.0,75.0,94.0, ENE,3.0,0.0,29.66, 0.0 in, Fog,2022-08-13,2022-08-13 04:30:00
10,5:00 AM,77.0,75.0,94.0, ENE,3.0,0.0,29.66, 0.0 in, Fog,2022-08-13,2022-08-13 05:00:00
11,5:30 AM,77.0,75.0,94.0, ENE,5.0,0.0,29.66, 0.0 in, Cloudy,2022-08-13,2022-08-13 05:30:00
12,6:00 AM,77.0,75.0,94.0, ENE,5.0,0.0,29.69, 0.0 in, Fog,2022-08-13,2022-08-13 06:00:00
13,6:30 AM,77.0,75.0,94.0, ENE,3.0,0.0,29.69, 0.0 in, Fog,2022-08-13,2022-08-13 06:30:00
14,7:00 AM,77.0,75.0,94.0, ENE,2.0,0.0,29.69, 0.0 in, Fog,2022-08-13,2022-08-13 07:00:00
15,7:30 AM,79.0,75.0,89.0, NE,3.0,0.0,29.69, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 07:30:00
16,8:00 AM,79.0,77.0,94.0, ENE,6.0,0.0,29.69, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 08:00:00
17,8:30 AM,81.0,77.0,89.0, NE,3.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 08:30:00
18,9:00 AM,84.0,77.0,79.0, NE,5.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 09:00:00
19,9:30 AM,82.0,77.0,84.0, E,5.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 09:30:00
20,10:00 AM,82.0,75.0,79.0, ENE,5.0,0.0,29.72, 0.0 in, Cloudy,2022-08-13,2022-08-13 10:00:00
21,10:30 AM,84.0,77.0,79.0, VAR,2.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 10:30:00
22,11:00 AM,84.0,77.0,79.0, VAR,2.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 11:00:00
23,11:30 AM,86.0,77.0,74.0, NE,5.0,0.0,29.72, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 11:30:00
24,12:00 PM,86.0,77.0,74.0, VAR,2.0,0.0,29.69, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 12:00:00
25,12:30 PM,88.0,77.0,70.0, NE,3.0,0.0,29.69, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 12:30:00
26,1:00 PM,86.0,77.0,74.0, NNE,5.0,0.0,29.66, 0.0 in, Fair,2022-08-13,2022-08-13 13:00:00
27,1:30 PM,88.0,77.0,70.0, VAR,2.0,0.0,29.66, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 13:30:00
28,2:00 PM,88.0,77.0,70.0, VAR,2.0,0.0,29.66, 0.0 in, Partly Cloudy,2022-08-13,2022-08-13 14:00:00
29,2:30 PM,88.0,77.0,70.0, ESE,5.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 14:30:00
30,3:00 PM,88.0,77.0,70.0, ENE,5.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 15:00:00
31,3:30 PM,88.0,77.0,70.0, E,6.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-08-13,2022-08-13 15:30:00
32,4:00 PM,88.0,77.0,70.0, SSE,8.0,0.0,29.61, 0.0 in, Partly Cloudy,2022-08-13,2022-08-13 16:00:00
33,4:30 PM,88.0,77.0,70.0, SE,6.0,0.0,29.61, 0.0 in, Fair,2022-08-13,2022-08-13 16:30:00
34,5:00 PM,88.0,77.0,70.0, SE,7.0,0.0,29.61, 0.0 in, Fair,2022-08-13,2022-08-13 17:00:00
35,5:30 PM,86.0,77.0,74.0, E,7.0,0.0,29.61, 0.0 in, Fair,2022-08-13,2022-08-13 17:30:00
36,6:00 PM,86.0,77.0,74.0, ESE,7.0,0.0,29.61, 0.0 in, Fair,2022-08-13,2022-08-13 18:00:00
