,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM, 77 °F, 63 °F, 61 %, SE, 7 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 00:00:00
1,12:30 AM, 77 °F, 63 °F, 61 %, SE, 7 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 00:30:00
2,1:00 AM, 77 °F, 63 °F, 61 %, SE, 8 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 01:00:00
3,1:30 AM, 75 °F, 63 °F, 65 %, SE, 10 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 01:30:00
4,2:00 AM, 75 °F, 63 °F, 65 %, E, 6 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 02:00:00
5,2:30 AM, 73 °F, 63 °F, 69 %, ESE, 7 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 02:30:00
6,3:00 AM, 73 °F, 63 °F, 69 %, ESE, 5 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 03:00:00
7,3:30 AM, 75 °F, 63 °F, 65 %, ESE, 5 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 03:30:00
8,4:00 AM, 73 °F, 63 °F, 69 %, SE, 5 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy,2020-02-06,2020-02-06 04:00:00
9,4:30 AM, 73 °F, 63 °F, 69 %, ESE, 6 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 04:30:00
10,5:00 AM, 73 °F, 63 °F, 69 %, E, 5 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 05:00:00
11,5:30 AM, 70 °F, 63 °F, 78 %, E, 5 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 05:30:00
12,6:00 AM, 72 °F, 61 °F, 69 %, E, 5 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 06:00:00
13,6:30 AM, 73 °F, 63 °F, 69 %, E, 6 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 06:30:00
14,7:00 AM, 75 °F, 63 °F, 65 %, E, 5 mph, 0 mph, 29.91 in, 0.0 in, Fair,2020-02-06,2020-02-06 07:00:00
15,7:30 AM, 77 °F, 63 °F, 61 %, E, 6 mph, 0 mph, 29.91 in, 0.0 in, Fair,2020-02-06,2020-02-06 07:30:00
16,8:00 AM, 79 °F, 61 °F, 54 %, VAR, 3 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 08:00:00
17,8:30 AM, 79 °F, 59 °F, 51 %, E, 7 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 08:30:00
18,9:00 AM, 81 °F, 57 °F, 45 %, E, 7 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 09:00:00
19,9:30 AM, 82 °F, 54 °F, 37 %, ESE, 7 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 09:30:00
20,10:00 AM, 82 °F, 54 °F, 37 %, E, 5 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 10:00:00
21,10:30 AM, 84 °F, 50 °F, 30 %, E, 7 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 10:30:00
22,11:00 AM, 84 °F, 50 °F, 30 %, E, 5 mph, 0 mph, 29.94 in, 0.0 in, Fair,2020-02-06,2020-02-06 11:00:00
23,11:30 AM, 86 °F, 52 °F, 31 %, VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, Fair,2020-02-06,2020-02-06 11:30:00
24,12:00 PM, 86 °F, 54 °F, 33 %, VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 12:00:00
25,12:30 PM, 88 °F, 55 °F, 33 %, VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 12:30:00
26,1:00 PM, 88 °F, 55 °F, 33 %, E, 6 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 13:00:00
27,1:30 PM, 90 °F, 57 °F, 33 %, VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, Fair,2020-02-06,2020-02-06 13:30:00
28,2:00 PM, 90 °F, 57 °F, 33 %, WNW, 6 mph, 0 mph, 29.82 in, 0.0 in, Fair,2020-02-06,2020-02-06 14:00:00
29,2:30 PM, 90 °F, 59 °F, 36 %, VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 14:30:00
30,3:00 PM, 90 °F, 59 °F, 36 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 15:00:00
31,3:30 PM, 90 °F, 59 °F, 36 %, VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 15:30:00
32,4:00 PM, 90 °F, 59 °F, 36 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 16:00:00
33,4:30 PM, 90 °F, 59 °F, 36 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 16:30:00
34,5:00 PM, 88 °F, 57 °F, 35 %, SW, 5 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 17:00:00
35,5:30 PM, 86 °F, 59 °F, 40 %, S, 10 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 17:30:00
36,6:00 PM, 84 °F, 59 °F, 42 %, S, 9 mph, 0 mph, 29.79 in, 0.0 in, Fair,2020-02-06,2020-02-06 18:00:00
37,6:30 PM, 82 °F, 59 °F, 45 %, SSE, 7 mph, 0 mph, 29.82 in, 0.0 in, Fair,2020-02-06,2020-02-06 18:30:00
38,7:00 PM, 82 °F, 57 °F, 42 %, S, 7 mph, 0 mph, 29.82 in, 0.0 in, Fair,2020-02-06,2020-02-06 19:00:00
39,7:30 PM, 82 °F, 57 °F, 42 %, S, 7 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 19:30:00
40,8:00 PM, 81 °F, 59 °F, 48 %, SSE, 6 mph, 0 mph, 29.85 in, 0.0 in, Fair,2020-02-06,2020-02-06 20:00:00
41,8:30 PM, 81 °F, 59 °F, 48 %, SE, 9 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 20:30:00
42,9:00 PM, 81 °F, 59 °F, 48 %, SE, 9 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 21:00:00
43,9:30 PM, 81 °F, 59 °F, 48 %, SE, 12 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 21:30:00
44,10:00 PM, 79 °F, 61 °F, 54 %, SE, 12 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 22:00:00
45,10:30 PM, 79 °F, 63 °F, 57 %, SE, 10 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 22:30:00
46,11:00 PM, 77 °F, 63 °F, 61 %, SE, 10 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 23:00:00
47,11:30 PM, 77 °F, 63 °F, 61 %, SE, 10 mph, 0 mph, 29.88 in, 0.0 in, Fair,2020-02-06,2020-02-06 23:30:00
