,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,81.0,72.0,74, VAR,3,0.0,29.79,0.0, Partly Cloudy,2022-04-10,2022-04-10 00:00:00
1,12:30 AM,81.0,72.0,74, SSE,5,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 00:30:00
2,1:00 AM,81.0,72.0,74, SSE,5,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 01:00:00
3,1:30 AM,81.0,72.0,74, VAR,3,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 01:30:00
4,2:00 AM,81.0,72.0,74, SE,5,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 02:00:00
5,2:30 AM,81.0,73.0,79, S,6,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 02:30:00
6,3:00 AM,81.0,73.0,79, SSE,6,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 03:00:00
7,3:30 AM,81.0,73.0,79, S,5,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 03:30:00
8,4:00 AM,81.0,73.0,79, S,6,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 04:00:00
9,4:30 AM,79.0,73.0,83, SSE,5,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 04:30:00
10,5:00 AM,81.0,73.0,79, SSE,6,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 05:00:00
11,5:30 AM,81.0,73.0,79, SSE,6,0.0,29.76,0.0, Partly Cloudy,2022-04-10,2022-04-10 05:30:00
12,6:00 AM,81.0,73.0,79, SSE,5,0.0,29.79,0.0, Partly Cloudy,2022-04-10,2022-04-10 06:00:00
13,6:30 AM,81.0,73.0,79, VAR,3,0.0,29.79,0.0, Partly Cloudy,2022-04-10,2022-04-10 06:30:00
14,7:00 AM,82.0,73.0,74, ESE,6,0.0,29.79,0.0, Partly Cloudy,2022-04-10,2022-04-10 07:00:00
15,7:30 AM,82.0,73.0,74, SE,7,0.0,29.79,0.0, Partly Cloudy,2022-04-10,2022-04-10 07:30:00
16,8:00 AM,84.0,75.0,74, SE,8,0.0,29.82,0.0, Fair,2022-04-10,2022-04-10 08:00:00
17,8:30 AM,84.0,73.0,70, SE,8,0.0,29.82,0.0, Fair,2022-04-10,2022-04-10 08:30:00
18,9:00 AM,88.0,72.0,58, SE,7,0.0,29.82,0.0, Fair,2022-04-10,2022-04-10 09:00:00
19,9:30 AM,86.0,72.0,62, SE,7,0.0,29.82,0.0, Partly Cloudy,2022-04-10,2022-04-10 09:30:00
20,10:00 AM,86.0,70.0,58, VAR,6,0.0,29.82,0.0, Partly Cloudy,2022-04-10,2022-04-10 10:00:00
21,10:30 AM,88.0,70.0,55, VAR,2,0.0,29.82,0.0, Mostly Cloudy,2022-04-10,2022-04-10 10:30:00
22,11:00 AM,88.0,70.0,55, SSW,7,0.0,29.79,0.0, Mostly Cloudy,2022-04-10,2022-04-10 11:00:00
23,11:30 AM,90.0,70.0,52, VAR,3,0.0,29.79,0.0, Mostly Cloudy,2022-04-10,2022-04-10 11:30:00
24,12:00 PM,90.0,70.0,52, W,6,0.0,29.76,0.0, Mostly Cloudy,2022-04-10,2022-04-10 12:00:00
25,12:30 PM,90.0,70.0,52, VAR,2,0.0,29.73,0.0, Mostly Cloudy,2022-04-10,2022-04-10 12:30:00
26,1:00 PM,90.0,70.0,52, SSE,6,0.0,29.73,0.0, Mostly Cloudy,2022-04-10,2022-04-10 13:00:00
27,1:30 PM,91.0,70.0,49, VAR,3,0.0,29.7,0.0, Mostly Cloudy,2022-04-10,2022-04-10 13:30:00
28,2:00 PM,90.0,70.0,52, VAR,3,0.0,29.7,0.0, Mostly Cloudy,2022-04-10,2022-04-10 14:00:00
29,2:30 PM,91.0,70.0,49, VAR,3,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 14:30:00
30,3:00 PM,91.0,70.0,49, S,5,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 15:00:00
31,3:30 PM,91.0,70.0,49, S,7,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 15:30:00
32,4:00 PM,90.0,72.0,55, SSE,8,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 16:00:00
33,4:30 PM,90.0,72.0,55, S,7,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 16:30:00
34,5:00 PM,88.0,72.0,58, S,7,0.0,29.67,0.0, Mostly Cloudy,2022-04-10,2022-04-10 17:00:00
35,5:30 PM,86.0,72.0,62, S,8,0.0,29.7,0.0, Partly Cloudy,2022-04-10,2022-04-10 17:30:00
36,6:00 PM,86.0,73.0,66, SSE,8,0.0,29.7,0.0, Partly Cloudy,2022-04-10,2022-04-10 18:00:00
37,6:30 PM,84.0,73.0,70, SSE,9,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 18:30:00
38,7:00 PM,82.0,73.0,74, SE,9,0.0,29.73,0.0, Partly Cloudy,2022-04-10,2022-04-10 19:00:00
39,7:30 PM,82.0,73.0,74, S,8,0.0,29.73,0.0, Fair,2022-04-10,2022-04-10 19:30:00
40,8:00 PM,82.0,72.0,70, SE,9,0.0,29.76,0.0, Fair,2022-04-10,2022-04-10 20:00:00
41,8:30 PM,82.0,72.0,70, SSE,8,0.0,29.76,0.0, Fair,2022-04-10,2022-04-10 20:30:00
42,9:00 PM,82.0,73.0,74, SE,10,0.0,29.79,0.0, Fair,2022-04-10,2022-04-10 21:00:00
43,9:30 PM,81.0,73.0,79, SE,9,0.0,29.79,0.0, Fair,2022-04-10,2022-04-10 21:30:00
44,10:00 PM,81.0,73.0,79, SE,9,0.0,29.79,0.0, Fair,2022-04-10,2022-04-10 22:00:00
45,10:30 PM,81.0,73.0,79, SE,8,0.0,29.82,0.0, Fair,2022-04-10,2022-04-10 22:30:00
46,11:00 PM,81.0,73.0,79, SE,7,0.0,29.79,0.0, Fair,2022-04-10,2022-04-10 23:00:00
47,11:30 PM,81.0,73.0,79, SE,8,0.0,29.79,0.0, Fair,2022-04-10,2022-04-10 23:30:00
