,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,77.0,64.0,65, NNE,7,0.0,29.82,0.0, Partly Cloudy,2021-01-03,2021-01-03 00:00:00
1,12:30 AM,77.0,63.0,61, NE,6,0.0,29.82,0.0, Partly Cloudy,2021-01-03,2021-01-03 00:30:00
2,1:00 AM,75.0,63.0,65, NNE,5,0.0,29.82,0.0, Partly Cloudy,2021-01-03,2021-01-03 01:00:00
3,1:30 AM,75.0,64.0,69, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 01:30:00
4,2:00 AM,75.0,64.0,69, N,5,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 02:00:00
5,2:30 AM,75.0,64.0,69, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 02:30:00
6,3:00 AM,73.0,64.0,73, N,3,0.0,29.76,0.0, Partly Cloudy,2021-01-03,2021-01-03 03:00:00
7,3:30 AM,73.0,64.0,73, NNE,5,0.0,29.76,0.0, Partly Cloudy,2021-01-03,2021-01-03 03:30:00
8,4:00 AM,73.0,64.0,73, NNE,3,0.0,29.76,0.0, Partly Cloudy,2021-01-03,2021-01-03 04:00:00
9,4:30 AM,73.0,64.0,73, VAR,1,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 04:30:00
10,5:00 AM,73.0,64.0,73, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 05:00:00
11,5:30 AM,73.0,66.0,78, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 05:30:00
12,6:00 AM,72.0,66.0,83, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 06:00:00
13,6:30 AM,72.0,66.0,83, N,3,0.0,29.79,0.0, Partly Cloudy,2021-01-03,2021-01-03 06:30:00
14,7:00 AM,73.0,66.0,78, N,3,0.0,29.82,0.0, Partly Cloudy,2021-01-03,2021-01-03 07:00:00
15,7:30 AM,75.0,66.0,73, VAR,3,0.0,29.82,0.0, Partly Cloudy,2021-01-03,2021-01-03 07:30:00
16,8:00 AM,77.0,68.0,74, VAR,2,0.0,29.85,0.0, Partly Cloudy,2021-01-03,2021-01-03 08:00:00
17,8:30 AM,79.0,68.0,69, VAR,2,0.0,29.85,0.0, Partly Cloudy,2021-01-03,2021-01-03 08:30:00
18,9:00 AM,79.0,66.0,65, VAR,3,0.0,29.85,0.0, Partly Cloudy,2021-01-03,2021-01-03 09:00:00
19,9:30 AM,81.0,66.0,61, N,5,0.0,29.85,0.0, Partly Cloudy,2021-01-03,2021-01-03 09:30:00
