,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,81.0,68.0,65.0, E,7.0,0.0,29.76, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 00:00:00
1,12:30 AM,81.0,68.0,65.0, E,6.0,0.0,29.76, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 00:30:00
2,1:00 AM,81.0,68.0,65.0, ENE,8.0,0.0,29.76, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 01:00:00
3,1:30 AM,79.0,70.0,74.0, E,5.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 01:30:00
4,2:00 AM,79.0,70.0,74.0, ENE,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 02:00:00
5,2:30 AM,79.0,70.0,74.0, NE,5.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 02:30:00
6,3:00 AM,79.0,72.0,78.0, NE,5.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 03:00:00
7,3:30 AM,79.0,72.0,78.0, ENE,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 03:30:00
8,4:00 AM,79.0,72.0,78.0, E,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 04:00:00
9,4:30 AM,77.0,72.0,83.0, ENE,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 04:30:00
10,5:00 AM,77.0,72.0,83.0, ENE,5.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 05:00:00
11,5:30 AM,77.0,72.0,83.0, ENE,5.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 05:30:00
12,6:00 AM,77.0,72.0,83.0, NE,3.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 06:00:00
13,6:30 AM,77.0,73.0,89.0, NNE,2.0,0.0,29.76, 0.0 in, Fair,2022-02-12,2022-02-12 06:30:00
14,7:00 AM,77.0,73.0,89.0, VAR,1.0,0.0,29.76, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 07:00:00
15,7:30 AM,79.0,73.0,83.0, N,5.0,0.0,29.79, 0.0 in, Fair,2022-02-12,2022-02-12 07:30:00
16,8:00 AM,81.0,73.0,79.0, VAR,2.0,0.0,29.79, 0.0 in, Fair,2022-02-12,2022-02-12 08:00:00
17,8:30 AM,82.0,73.0,74.0, VAR,2.0,0.0,29.79, 0.0 in, Fair,2022-02-12,2022-02-12 08:30:00
18,9:00 AM,84.0,73.0,70.0, ENE,2.0,0.0,29.82, 0.0 in, Fair,2022-02-12,2022-02-12 09:00:00
19,9:30 AM,86.0,70.0,58.0, VAR,3.0,0.0,29.82, 0.0 in, Fair,2022-02-12,2022-02-12 09:30:00
20,10:00 AM,90.0,68.0,49.0, ENE,5.0,0.0,29.82, 0.0 in, Fair,2022-02-12,2022-02-12 10:00:00
21,10:30 AM,91.0,63.0,38.0, VAR,5.0,0.0,29.79, 0.0 in, Fair,2022-02-12,2022-02-12 10:30:00
22,11:00 AM,91.0,63.0,38.0, ENE,6.0,0.0,29.79, 0.0 in, Fair,2022-02-12,2022-02-12 11:00:00
23,11:30 AM,91.0,61.0,36.0, ENE,9.0,0.0,29.76, 0.0 in, Fair,2022-02-12,2022-02-12 11:30:00
24,12:00 PM,91.0,61.0,36.0, ENE,6.0,0.0,29.76, 0.0 in, Fair,2022-02-12,2022-02-12 12:00:00
25,12:30 PM,93.0,61.0,34.0, ESE,8.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 12:30:00
26,1:00 PM,97.0,59.0,28.0, E,10.0,0.0,29.73, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 13:00:00
27,1:30 PM,95.0,61.0,32.0, E,6.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 13:30:00
28,2:00 PM,95.0,61.0,32.0, SE,8.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 14:00:00
29,2:30 PM,93.0,61.0,34.0, ESE,8.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 14:30:00
30,3:00 PM,93.0,61.0,34.0, SE,7.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 15:00:00
31,3:30 PM,93.0,61.0,34.0, E,8.0,0.0,29.64, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 15:30:00
32,4:00 PM,93.0,63.0,36.0, VAR,5.0,0.0,29.64, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 16:00:00
33,4:30 PM,91.0,63.0,38.0, SE,7.0,0.0,29.64, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 16:30:00
34,5:00 PM,91.0,64.0,41.0, SSE,6.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 17:00:00
35,5:30 PM,90.0,64.0,43.0, SSE,5.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 17:30:00
36,6:00 PM,88.0,70.0,55.0, SSE,8.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 18:00:00
37,6:30 PM,86.0,70.0,58.0, SSE,8.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 18:30:00
38,7:00 PM,86.0,70.0,58.0, SE,9.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 19:00:00
39,7:30 PM,84.0,70.0,62.0, SE,10.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 19:30:00
40,8:00 PM,84.0,70.0,62.0, SE,9.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 20:00:00
41,8:30 PM,84.0,68.0,58.0, ESE,8.0,0.0,29.73, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 20:30:00
42,9:00 PM,82.0,68.0,62.0, E,7.0,0.0,29.73, 0.0 in, Partly Cloudy,2022-02-12,2022-02-12 21:00:00
43,9:30 PM,82.0,68.0,62.0, E,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 21:30:00
44,10:00 PM,82.0,68.0,62.0, VAR,3.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 22:00:00
45,10:30 PM,82.0,68.0,62.0, VAR,2.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 22:30:00
46,11:00 PM,82.0,68.0,62.0, SSE,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 23:00:00
47,11:30 PM,82.0,68.0,62.0, SSE,6.0,0.0,29.73, 0.0 in, Fair,2022-02-12,2022-02-12 23:30:00
