,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,79.0,75.0,89.0, W,5.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 00:00:00
1,12:30 AM,77.0,75.0,94.0, W,3.0,0.0,29.79, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 00:30:00
2,1:00 AM,77.0,75.0,94.0, W,3.0,0.0,29.79, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 01:00:00
3,1:30 AM,77.0,75.0,94.0, W,3.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 01:30:00
4,2:00 AM,77.0,75.0,94.0, W,3.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 02:00:00
5,2:30 AM,77.0,75.0,94.0, W,5.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 02:30:00
6,3:00 AM,77.0,77.0,100.0, W,2.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 03:00:00
7,3:30 AM,77.0,77.0,100.0, VAR,1.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 03:30:00
8,4:00 AM,77.0,77.0,100.0, CALM,0.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 04:00:00
9,4:30 AM,77.0,77.0,100.0, VAR,2.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 04:30:00
10,5:00 AM,77.0,77.0,100.0, VAR,1.0,0.0,29.76, 0.0 in, Mostly Cloudy,2020-11-05,2020-11-05 05:00:00
11,5:30 AM,77.0,77.0,100.0, NNW,1.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 05:30:00
12,6:00 AM,77.0,77.0,100.0, VAR,2.0,0.0,29.76, 0.0 in, Fog,2020-11-05,2020-11-05 06:00:00
13,6:30 AM,77.0,77.0,100.0, VAR,2.0,0.0,29.79, 0.0 in, Fog,2020-11-05,2020-11-05 06:30:00
14,7:00 AM,79.0,77.0,94.0, VAR,3.0,0.0,29.79, 0.0 in, Fog,2020-11-05,2020-11-05 07:00:00
15,7:30 AM,79.0,77.0,94.0, VAR,1.0,0.0,29.79, 0.0 in, Fog,2020-11-05,2020-11-05 07:30:00
16,8:00 AM,81.0,75.0,84.0, VAR,3.0,0.0,29.79, 0.0 in, Fair,2020-11-05,2020-11-05 08:00:00
17,8:30 AM,84.0,77.0,79.0, VAR,2.0,0.0,29.82, 0.0 in, Fair,2020-11-05,2020-11-05 08:30:00
18,9:00 AM,84.0,73.0,70.0, VAR,1.0,0.0,29.82, 0.0 in, Fair,2020-11-05,2020-11-05 09:00:00
19,9:30 AM,88.0,73.0,62.0, VAR,3.0,0.0,29.82, 0.0 in, Fair,2020-11-05,2020-11-05 09:30:00
20,10:00 AM,88.0,73.0,62.0, VAR,3.0,0.0,29.82, 0.0 in, Fair,2020-11-05,2020-11-05 10:00:00
21,10:30 AM,90.0,70.0,52.0, NNW,7.0,0.0,29.79, 0.0 in, Fair,2020-11-05,2020-11-05 10:30:00
22,11:00 AM,90.0,72.0,55.0, VAR,3.0,0.0,29.79, 0.0 in, Fair,2020-11-05,2020-11-05 11:00:00
23,11:30 AM,91.0,70.0,49.0, VAR,3.0,0.0,29.79, 0.0 in, Fair,2020-11-05,2020-11-05 11:30:00
24,12:00 PM,90.0,72.0,55.0, VAR,2.0,0.0,29.76, 0.0 in, Fair,2020-11-05,2020-11-05 12:00:00
25,12:30 PM,90.0,72.0,55.0, VAR,2.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 12:30:00
26,1:00 PM,91.0,72.0,52.0, WNW,5.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 13:00:00
27,1:30 PM,93.0,73.0,52.0, VAR,3.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 13:30:00
28,2:00 PM,93.0,70.0,46.0, NNW,6.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 14:00:00
29,2:30 PM,91.0,72.0,52.0, NNW,3.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 14:30:00
30,3:00 PM,91.0,72.0,52.0, N,5.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 15:00:00
31,3:30 PM,91.0,73.0,55.0, NW,5.0,0.0,29.7, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 15:30:00
32,4:00 PM,90.0,75.0,62.0, NW,5.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 16:00:00
33,4:30 PM,90.0,73.0,59.0, NW,8.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 16:30:00
34,5:00 PM,88.0,73.0,62.0, W,8.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 17:00:00
35,5:30 PM,86.0,75.0,70.0, W,7.0,0.0,29.73, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 17:30:00
36,6:00 PM,84.0,77.0,79.0, WSW,9.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 18:00:00
37,6:30 PM,84.0,75.0,74.0, WSW,8.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 18:30:00
38,7:00 PM,84.0,75.0,74.0, W,7.0,0.0,29.76, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 19:00:00
39,7:30 PM,84.0,75.0,74.0, W,6.0,0.0,29.79, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 19:30:00
40,8:00 PM,82.0,75.0,79.0, WSW,6.0,0.0,29.79, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 20:00:00
41,8:30 PM,82.0,77.0,84.0, W,6.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 20:30:00
42,9:00 PM,82.0,77.0,84.0, W,3.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 21:00:00
43,9:30 PM,82.0,77.0,84.0, W,5.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 21:30:00
44,10:00 PM,82.0,77.0,84.0, W,3.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 22:00:00
45,10:30 PM,84.0,77.0,79.0, WNW,3.0,0.0,29.79, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 22:30:00
46,11:00 PM,82.0,77.0,84.0, W,3.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 23:00:00
47,11:30 PM,82.0,77.0,84.0, WSW,6.0,0.0,29.82, 0.0 in, Partly Cloudy,2020-11-05,2020-11-05 23:30:00
