,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,82.0,73.0,74, SE,6,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 00:00:00
1,12:30 AM,82.0,73.0,74, ESE,7,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 00:30:00
2,1:00 AM,81.0,73.0,79, SE,7,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 01:00:00
3,1:30 AM,82.0,73.0,74, SE,5,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 01:30:00
4,2:00 AM,81.0,73.0,79, SE,5,0.0,29.82,0.0, Partly Cloudy,2021-04-12,2021-04-12 02:00:00
5,2:30 AM,81.0,73.0,79, E,5,0.0,29.82,0.0, Partly Cloudy,2021-04-12,2021-04-12 02:30:00
6,3:00 AM,81.0,73.0,79, ESE,6,0.0,29.82,0.0, Partly Cloudy,2021-04-12,2021-04-12 03:00:00
7,3:30 AM,81.0,73.0,79, VAR,3,0.0,29.82,0.0, Partly Cloudy,2021-04-12,2021-04-12 03:30:00
8,4:00 AM,79.0,73.0,83, E,6,0.0,29.82,0.0, Partly Cloudy,2021-04-12,2021-04-12 04:00:00
9,4:30 AM,79.0,73.0,83, E,5,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 04:30:00
10,5:00 AM,79.0,75.0,89, E,5,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 05:00:00
11,5:30 AM,79.0,73.0,83, E,5,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 05:30:00
12,6:00 AM,79.0,75.0,89, E,3,0.0,29.85,0.0, Partly Cloudy,2021-04-12,2021-04-12 06:00:00
13,6:30 AM,81.0,73.0,79, E,6,0.0,29.88,0.0, Partly Cloudy,2021-04-12,2021-04-12 06:30:00
14,7:00 AM,82.0,73.0,74, E,5,0.0,29.88,0.0, Partly Cloudy,2021-04-12,2021-04-12 07:00:00
15,7:30 AM,84.0,73.0,70, E,7,0.0,29.88,0.0, Partly Cloudy,2021-04-12,2021-04-12 07:30:00
16,8:00 AM,86.0,73.0,66, ESE,7,0.0,29.91,0.0, Partly Cloudy,2021-04-12,2021-04-12 08:00:00
17,8:30 AM,86.0,73.0,66, ESE,7,0.0,29.91,0.0, Partly Cloudy,2021-04-12,2021-04-12 08:30:00
18,9:00 AM,86.0,73.0,66, ESE,5,0.0,29.91,0.0, Partly Cloudy,2021-04-12,2021-04-12 09:00:00
19,9:30 AM,90.0,72.0,55, VAR,3,0.0,29.91,0.0, Partly Cloudy,2021-04-12,2021-04-12 09:30:00
20,10:00 AM,91.0,73.0,55, VAR,3,0.0,29.91,0.0, Partly Cloudy,2021-04-12,2021-04-12 10:00:00
