,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,82.0,77.0,84.0, VAR,1.0,0.0,29.76, 0.0 in, Partly Cloudy,2021-05-09,2021-05-09 00:00:00
1,12:30 AM,81.0,77.0,89.0, WSW,1.0,0.0,29.76, 0.0 in, Partly Cloudy,2021-05-09,2021-05-09 00:30:00
2,1:00 AM,81.0,77.0,89.0, VAR,1.0,0.0,29.73, 0.0 in, Partly Cloudy,2021-05-09,2021-05-09 01:00:00
3,1:30 AM,81.0,77.0,89.0, WSW,2.0,0.0,29.73, 0.0 in, Partly Cloudy,2021-05-09,2021-05-09 01:30:00
4,2:00 AM,79.0,75.0,89.0, SW,5.0,0.0,29.73, 0.0 in, Partly Cloudy,2021-05-09,2021-05-09 02:00:00
5,2:30 AM,77.0,73.0,89.0, SW,3.0,0.0,29.73, 0.0 in, Fair,2021-05-09,2021-05-09 02:30:00
6,3:00 AM,77.0,73.0,89.0, WSW,1.0,0.0,29.7, 0.0 in, Fair,2021-05-09,2021-05-09 03:00:00
7,3:30 AM,77.0,73.0,89.0, S,2.0,0.0,29.7, 0.0 in, Fair,2021-05-09,2021-05-09 03:30:00
8,4:00 AM,77.0,72.0,83.0, SSW,3.0,0.0,29.7, 0.0 in, Fair,2021-05-09,2021-05-09 04:00:00
9,4:30 AM,77.0,72.0,83.0, S,3.0,0.0,29.73, 0.0 in, Fair,2021-05-09,2021-05-09 04:30:00
10,5:00 AM,77.0,72.0,83.0, S,5.0,0.0,29.73, 0.0 in, Fair,2021-05-09,2021-05-09 05:00:00
11,5:30 AM,77.0,72.0,83.0, S,3.0,0.0,29.73, 0.0 in, Fair,2021-05-09,2021-05-09 05:30:00
12,6:00 AM,77.0,72.0,83.0, S,3.0,0.0,29.73, 0.0 in, Fair,2021-05-09,2021-05-09 06:00:00
13,6:30 AM,79.0,72.0,78.0, S,5.0,0.0,29.76, 0.0 in, Fair,2021-05-09,2021-05-09 06:30:00
14,7:00 AM,81.0,73.0,79.0, SSW,6.0,0.0,29.76, 0.0 in, Fair,2021-05-09,2021-05-09 07:00:00
15,7:30 AM,84.0,75.0,74.0, S,5.0,0.0,29.79, 0.0 in, Fair,2021-05-09,2021-05-09 07:30:00
16,8:00 AM,86.0,75.0,70.0, SSE,6.0,0.0,29.79, 0.0 in, Fair,2021-05-09,2021-05-09 08:00:00
17,8:30 AM,86.0,77.0,74.0, SSE,6.0,0.0,29.79, 0.0 in, Fair,2021-05-09,2021-05-09 08:30:00
18,9:00 AM,90.0,75.0,62.0, SE,6.0,0.0,29.79, 0.0 in, Fair,2021-05-09,2021-05-09 09:00:00
19,9:30 AM,90.0,75.0,62.0, SE,6.0,0.0,29.79, 0.0 in, Fair,2021-05-09,2021-05-09 09:30:00
